#Library information						Meta-information						Shotgun				mtDNA capture								390k capture										Library assessment		
Library ID	Individual ID	Collaborator Individual ID	Lab	LibraryType	Batch number	Culture ID	Location	Date	Country	Latitude	Longitude	 Reads going into alignment 	 Reads mapping to genome 	 Reads overlapping SNP targets 	Mean read length (dedupped)	 Reads going into alignment 	 Unique reads mapping to mtDNA 	 mt coverage 	C>T substitution rate in first base 	mt haplogroup (for >10x)	 One minus contamination estimate (for >10x)	 One minus contamination estimate (95% CI) (for >10x)	Mean read length (dedupped) (for <10x)	 Reads going into alignment 	 Reads mapping to human genome 	 Reads overlapping SNP targets 	 Unique reads mapping to 390k target 	 C>T substitution rate in first base 	Hits on X chromosome	Hits on Y chromosome	Fraction of SNPs hit at least once	Average target coverage	Mean read length (dedupped)	Overall assessment	Ratio of reads on 390k targets  for 390k capture vs. shotgun experiments	Additional comments
S0058	I0058	BZH4	Adelaide	minus	1	BenzigerodeHeimburg_LN	Benzingerode-Heimburg	2283-2146 calBCE 	Germany	51.82	10.91	22550	583	4	40	33373	32029	15.7	0.352	H2a	0.085	"[ 0.0490987,0.1296227 ]"	45	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0059	I0059	BZH6	Adelaide	minus	1	BenzigerodeHeimburg_LN	Benzingerode-Heimburg	2286-2153 calBCE	Germany	51.82	10.91	44106	324	3	40	14658	14116	12.3	0.337	..	0.931	"[ 0.8825871,0.9590944 ]"	46	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0061	I0061	UzOO74	Adelaide	minus	1	Karelia_HG	"Yuzhnyy Oleni Ostrov, Karelia"	5500-5000 BCE	Russia	61.65	35.65	30811	8339	92	57	9397	9260	10.2	0.23	..	0.999	"[ 0.9735183,0.9997786 ]"	46	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0060	I0060	ROT3	Adelaide	minus	1	Bell_Beaker_LN	Rothenschirmbach	2294-2206 calBCE	Germany	51.45	11.54	42978	286	3	51	8916	8572	9.89	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0057	I0057	HAL34	Adelaide	minus	1	LBK_EN	Halberstadt-Sonntagsfeld	5207-5067 calBCE 	Germany	51.89	11.04	38922	399	0	26	20726	17649	9.47	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0054	I0054	UWS4	Adelaide	minus	1	LBK_EN	Unterwiederstedt	5209-5070 calBCE 	Germany	51.66	11.53	32645	13923	156	64	7939	7851	5.09	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0056	I0056	HAL14	Adelaide	minus	1	LBK_EN	Halberstadt-Sonntagsfeld	5206-5052 calBCE	Germany	51.89	11.04	21669	469	5	61	6529	5096	1.07	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0055	LibraryBlank	LibraryBlank	Adelaide	minus	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	clean control	n/a	..
S0047	I0047	HAL16	Adelaide	plus	2	Unetice_EBA	Halberstadt-Sonntagsfeld	2022-1937 calBCE 	Germany	51.89	11.04	2731438	752991	7724	65	63650	59272	159	0.008	V	0.999	"[ 0.9953444,0.9998609 ]"	80	4091989	3617329	2893716	804344	0.026	1401	1	0.78	2.04	78	passed	250	..
S0048	I0048	HAL25	Adelaide	plus	2	LBK_EN	Halberstadt-Sonntagsfeld	5206-5052 calBCE 	Germany	51.89	11.04	2599	167	3	57	80703	66734	129	0.006	K1a	0.994	"[ 0.9884414,0.9962785 ]"	77	2490052	1919907	1716000	187683	0.03	398	401	0.36	0.48	75	passed	597	..
S0050	I0050	ESP5	Adelaide	plus	2	Corded_Ware_LN	Esperstedt	2800-2050 BCE	Germany	51.42	11.68	5565	40	1	46	43773	39806	124	0.002	U5a2d	1	"[ 0.9981939,0.9999853 ]"	83	2581040	530464	407383	2909	0.016	5	1	0.01	0.01	71	failed 390k QC 	878	..
S0049	I0049	ESP22	Adelaide	plus	2	Corded_Ware_LN	Esperstedt	2454-2291 calBCE 	Germany	51.42	11.68	6797	292	2	47	44640	41281	119	0.003	X2b4	1	"[ 0.9976945,0.9999817 ]"	75	3579496	2501780	1985046	143741	0.029	556	0	0.29	0.37	62	passed	1885	..
S0046	I0046	HAL5	Adelaide	plus	2	LBK_EN	Halberstadt-Sonntagsfeld	5206-5004 calBCE 	Germany	51.89	11.04	10060573	1824449	25345	89	31191	28572	82.1	0.007	T2c1d'e'f	0.993	"[ 0.9870320,0.9967478 ]"	99	3940164	3422305	2811706	693648	0.018	1372	1	0.75	1.76	115	passed	283	..
